pathway,padj,NES,size,leadingEdge,database,pval,ES,log2err,contrast
GOBP_ENERGY_DERIVATION_BY_OXIDATION_OF_ORGANIC_COMPOUNDS,3.136642683240759e-11,-2.4716679971192006,174,PHKG1;PNPT1;PHKB;CHCHD10;PHKA1;EPM2A;SUCLG1;AGL;SUCLA2;SUCLG2;DLAT;PPIF;PPP1R1A;PDHA1;SHMT2;COA6;IDH3G;IDH1;HCCS;CS;COX6B1;PPP1R3A;ATP5PO;ATP5ME;IDH3B;PHKA2;MDH2;IDH3A;PDHB;PYGM;ATG3;DLST;SURF1;ATP5F1A;IDH2;ACADM;OGDH;ATP5MG;MFN2;TRAP1;ETFDH;ATP5PB;NDUFAB1;NDUFS8;ATP5F1E;NDUFB9;COQ9;MT-ND3;UQCRH;NDUFS5;FH;NDUFA11;SLC25A13;SDHA;COX5B;NDUFB10;NDUFS4;NDUFB4;COQ10B;NDUFA8;COX7A1;IDE;NNT;NDUFB6;NDUFC2;PYGB;ATP5PF;UQCRC2;FXN;MT-ATP6;GYG1;SIRT3;NDUFA6;NDUFB8;SDHB;NDUFS7;NDUFA12;MT-ND1;UQCRQ;ETFA;ACADVL;NDUFV1;ATP5PD;ACTN3;UQCRC1;MT-ND5;UQCRB;NDUFS1;ADSL;GYS1;MDH1;NDUFA7;NDUFB7;COX5A;UQCRFS1;MT-CO2;COQ10A;MT-CYB;NIPSNAP2;ADHFE1;COL6A1;NDUFS6;NDUFS3;GHITM;LDHA;UQCR10;PFKM;NDUFA4,GO:BP,6.654828889478272e-14,-0.491699260668922,0.9545416307257243,Acute_HR
GOBP_PROTON_TRANSMEMBRANE_TRANSPORT,8.065396096401891e-8,-2.4540225638344353,86,PPIF;COX6B1;ATP5PO;ATP5ME;SURF1;ATP5F1A;ATP5MG;SLC25A12;ATP5PB;LETM1;NDUFS8;ATP5F1E;NDUFB9;MT-ND3;UQCRH;NDUFS5;SLC25A13;COX5B;NDUFB10;NDUFS4;NDUFB4;NDUFA8;COX7A1;NNT;NDUFB6;NDUFC2;ATP1A1;ATP5PF;MT-ATP6;SLC25A4;NDUFA6;NDUFB8;NDUFS7;NDUFA12;MT-ND1;NDUFV1;ATP5PD;UQCRC1;DMAC2L;MT-ND5;NDUFS1;ATP6V1G1;ATP6V1H;NDUFA7;NDUFB7;COX5A;UQCRFS1;MT-CO2;MT-CYB;ATP1A2;NDUFS6;NDUFS3;COX17;GHITM;UQCR10;NDUFA4,GO:BP,3.42237458121721e-10,-0.5477669250201272,0.8140358378479079,Acute_HR
GOBP_CYTOPLASMIC_TRANSLATION,1.136965861555847e-7,2.449250248734352,104,SYNCRIP;RPS20;RPLP2;RPL7;CSDE1;RPL12;RPL7A;ETF1;RPLP1;HNRNPD;EIF3M;RPL6;RPL15;EIF3E;RPL14;RPL27;RPL18;EEF2;RPL11;RPL10A;EIF4A1;RPL30;RPL18A;EIF3B;RWDD1;RPL13A;RPL22;RPS25;RPS3;EEF1D;RPLP0;RPL32;RPS5;PABPC1;RPS19;MCTS1;RPS7;EIF2S3;RPL9;EIF3D;EIF3A;RPS3A;SARS1;EIF4A2;RPS16;RPS15A;PAIP1;RPL4;RPS18;RPL36;RPSA;RPL13;YBX3;RPS17;RPL5;RPS10;EIF3C;RACK1;RPS26;RPS14;RPL17;EIF4H;RPS21;RPS4X;RPL27A;RPL23A;RPS15,GO:BP,5.628543869088351e-10,0.5370147123870825,0.8012155746177786,Acute_HR
GOBP_MITOCHONDRION_ORGANIZATION,4.640949879740984e-6,-2.15428193722506,146,HMGCL;PNPT1;ATPAF2;CHCHD10;COX19;EPM2A;SLC25A6;MTX1;TIMM50;TFAM;APOO;SIRT5;PPIF;AIFM1;MICOS13;COA6;APOOL;TIMM10;AFG3L2;TACO1;NDUFAF4;SMIM20;ATG3;TIMM13;NOL3;SURF1;ENDOG;ACAD9;NDUFAF3;MFN2;COX20;TMEM11;SAMM50;LETM1;NDUFS8;PPP2CB;IMMT;ATAD3A;NDUFS5;GPX1;HSD17B10;GGCT;LONP1;VPS13C;NDUFS4;HSPD1;COX7A1;RALA;ATPAF1;NDUFC2;CHCHD3;POLDIP2;TIMM9;FXN;FAM162A;SLC25A4;NDUFA6;HIGD1A;PRDX3;NDUFS7;MT-ND1,GO:BP,2.625714217675238e-8,-0.43886886547846926,0.7337619883564803,Acute_HR
GOBP_ORGANIC_ACID_CATABOLIC_PROCESS,8.956838020262496e-6,-2.252019626229734,91,HMGCL;ECI2;ACAD10;ACAD8;TST;DLAT;GOT2;ECI1;ALDH1L1;MCCC2;GOT1;GCDH;BDH2;AUH;CPT2;CPT1B;DLST;NUDT19;ACADM;GCSH;HIBADH;ETFDH;ACAT1;CRAT;ACADSB;BLMH;CPT1A;GNPDA1;QDPR;GLUD1;HSD17B10;PCCA;GPT;CARNS1;GLUL;ADIPOQ;HADHB;SCP2;HSD17B4;DDAH1;KYAT3;DECR1;PCCB;ALDH5A1,GO:BP,5.97081796339256e-8,-0.4969309658924197,0.7049757151672383,Acute_HR
GOBP_POSITIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY,8.956838020262496e-6,2.444547575770993,44,MAPRE1;FSCN1;VCP;ARPC2;TPPP3;HSP90AA1;MAPT;LCP1;CLIP1;MSN;LGALS3;BIN1;TPPP;RPS3;STUB1;PFN2;RAP1B;PSMC6;PPP2CA;RAC1;DDX3X;SH3GLB1;CLU,GO:BP,6.33439746836103e-8,0.6316251774991924,0.7049757151672383,Acute_HR
GOBP_ALPHA_AMINO_ACID_METABOLIC_PROCESS,1.6136457059143658e-5,-2.3347031458849,59,HMGCL;ADSS1;ACAD8;MMUT;GOT2;SHMT2;MCCC2;GOT1;GCDH;AUH;DLST;ADSS2;GCSH;HIBADH;ACAT1;ACADSB;BLMH;ASPA;QDPR;ENOPH1;GLUD1;FH;HSD17B10;THAP4;GPT;CARNS1;GLUL;DDAH1;KYAT3;ALDH5A1;PCBD1;ALDH6A1;HIBCH;APIP,GO:BP,1.2553113695231984e-7,-0.5591928886750998,0.6901324587967956,Acute_HR
GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS,2.2980363831519925e-5,2.3629159573762974,42,ILF3;SYNCRIP;HNRNPR;NCL;HNRNPUL2;HNRNPA3;SRSF2;NPM1;HNRNPK;HNRNPA2B1;SRSF3;HNRNPL;DDX39B;HNRNPH1;RBMX;HSPA8;SNRPB;PABPC1;DDX17;SFPQ;HNRNPUL1;PRDX6;HNRNPC,GO:BP,2.1127632942698658e-7,0.6156365660152558,0.6901324587967956,Acute_HR
GOBP_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY,3.781331170758102e-5,2.1750103203717557,85,MAPRE1;FSCN1;VCP;ARPC2;TPPP3;HSPA5;HSP90AA1;MAPT;CRYAB;LCP1;CLIP1;MSN;ADD1;HSPA8;LGALS3;RPL13A;BIN1;TPPP;VPS35;RPS3;CSNK1A1;GSN;STUB1;PFN2;RAP1B;PSMC6;PPP2CA;RAC1;CFL1;DDX3X;H3-3A;SH3GLB1;SPTB;CLU;NAPA;MAPRE3;HMGB1;PFN1,GO:BP,3.7438922482753483e-7,0.4936125478273323,0.674962860011025,Acute_HR
GOBP_TRICARBOXYLIC_ACID_CYCLE,4.811277652049226e-5,-2.46319013191346,25,SUCLG1;SUCLA2;SUCLG2;DLAT;PDHA1;IDH3G;IDH1;CS;IDH3B;MDH2;IDH3A;PDHB;DLST;IDH2;OGDH;FH;SDHA,GO:BP,5.10390132819932e-7,-0.7189942921632102,0.6594443980379349,Acute_HR
