contrast,database,n_sig,n_up,n_down,median_NES,mean_NES,sd_NES,min_padj,median_padj
Acute_HR,GO:BP,93,58,35,1.7847035501145332,0.4471028321415993,1.9491721076724,3.136642683240759e-11,0.01255433148209381
Acute_HR,Hallmark,8,5,3,1.9586974354594955,0.4560012916671192,2.224329154699161,2.1435237121974487e-13,0.0024541882689685375
Acute_Interaction,GO:BP,15,7,8,-1.6697689460270582,-0.04650390165251443,1.9825206354226597,5.152872228619365e-4,0.021375168306305106
Acute_Interaction,Hallmark,7,3,4,-1.7396104952324232,-0.2967704183768907,2.205337493477624,5.7408547963428925e-8,0.030894621271202412
Acute_LR,GO:BP,11,9,2,1.971578145232153,1.3276268590056455,1.5351134746193313,0.0026915375244815345,0.03842829983858003
Acute_LR,Hallmark,3,3,0,2.2509568440056427,2.2854611441802266,0.2969404637792982,6.494031784899899e-9,8.950753684426165e-4
Baseline_HRvLR,GO:BP,19,5,14,-2.088499975660531,-1.132638438424854,1.9138677878096262,3.0884526695219897e-12,1.1853639202681192e-4
Baseline_HRvLR,Hallmark,2,0,2,-2.206849511513203,-2.206849511513203,0.5678221209350419,2.421669817642402e-12,0.0038358218279082603
Training_HR,GO:BP,27,15,12,1.9123746029210709,0.37692664547207017,2.10431007543537,1.8579454737177662e-11,0.00259120506667422
Training_HR,Hallmark,2,2,0,2.4149523205094288,2.4149523205094288,0.8107089492125961,4.721662846488296e-19,0.004331934690962644
Training_Interaction,GO:BP,9,3,6,-1.7931672744449383,-0.6210020256629145,1.9082571936684818,0.017835386938700067,0.036807218909819805
Training_Interaction,Hallmark,1,1,0,1.776946775731846,1.776946775731846,NA,0.017835386938700067,0.017835386938700067
Training_LR,GO:BP,2,2,0,1.9617353083807685,1.9617353083807685,0.17937640919662645,0.004389529095504336,0.014034322775436568
Training_LR,Hallmark,1,1,0,1.9353164703935017,1.9353164703935017,NA,0.0018875780826211601,0.0018875780826211601
